datetime,comparison,dataset_a,dataset_b,corr,corr_p
2022-03-01 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.1360128643391353,13.601286433913529
2022-03-02 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.217677416532899,21.7677416532899
2022-03-03 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.25567152859336456,25.567152859336456
2022-03-04 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.15700518873151242,15.700518873151243
2022-03-05 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.37516827996486124,37.51682799648612
2022-03-06 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.11280290361373413,11.280290361373414
2022-03-07 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5073979486534688,50.73979486534688
2022-03-08 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.2321380095939624,23.21380095939624
2022-03-10 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.5442766043683576,54.42766043683576
2022-03-11 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.29507449349306253,29.507449349306253
2022-03-12 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4183742603834856,41.83742603834856
2022-03-14 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3354871520656539,33.54871520656539
2022-03-15 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.19537503254798827,19.53750325479883
2022-03-16 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6141209541610925,61.412095416109246
2022-03-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.04915060228203815,-4.915060228203815
2022-03-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.26468915377129565,26.468915377129566
2022-03-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4455329531485137,44.55329531485137
